r,param,value
GW_01,p,-12.616270920733125
GW_02,p,-124.5154021472114
GW_03,p,-35.87752418506628
GW_04,p,-17.473815143276607
GW_05,p,-57.53983314982873
GW_06,p,-95.79944721310795
GW_07,p,-65.26151522320774
GW_08,p,-132.45851736992796
GW_09,p,-58.14379310192398
GW_10,p,-24.80334349998862
GW_11,p,-287.78742537854936
GW_12,p,-274.99641752172937
GW_13,p,-146.30185414504683
GW_14,p,-131.15162284801752
GW_15,p,-92.1885437595204
GW_16,p,-93.26410768418494
GW_17,p,-233.75478704186818
GW_18,p,-193.38913187737842
GW_19,p,-140.7751678578291
GW_20,p,-80.15092414311032
GW_21,p,-110.92320795790363
GW_AV,p,-1324.14859354095
GW_CH,p,-1027.916599875459
GW_EW,p,-1155.3548049469894
GW_IM,p,-452.4118764500329
GW_MJ,p,-708.2838152804117
GW_MWD,p,-1120.9596491293896
GW_OW,p,-1119.4052570706806
GW_SBV,p,-415.57510393825294
GW_SC,p,-734.5326557648192
GW_SD,p,-1284.5572840006766
GW_VC,p,-733.7497098788876
SR_BER,pmin,-649.3974503522837
SR_BER,pmax,-1360.6942121335335
SR_BUC,pmin,-54.98869852216214
SR_BUC,pmax,-708.5965839892585
SR_BUL,pmin,-7.389036998869373
SR_BUL,pmax,-625.9278382872925
SR_CLE,pmin,-260.67920184274124
SR_CLE,pmax,-412.8945713069965
SR_CLK_INV,pmin,-26.059368541759486
SR_CLK_INV,pmax,-238.60123227055232
SR_CMN,pmin,-8.4173548415986
SR_CMN,pmax,-353.04971145958183
SR_DNP,pmin,-1.8127987014625084
SR_DNP,pmax,-499.9121403544984
SR_EBMUD,pmin,-25.38049361908161
SR_EBMUD,pmax,-125.22567564038505
SR_FOL,pmin,-349.9792376943411
SR_FOL,pmax,-600.4465096996393
SR_GNT,pmin,-73.08791074316053
SR_GNT,pmax,-204.5883313523594
SR_HTH,pmin,-78.5467319645104
SR_HTH,pmax,-165.84547459375753
SR_ISB,pmin,-42.18023340222949
SR_ISB,pmax,-317.4557687421175
SR_LL_ENR,pmin,-5.35936391918356
SR_LL_ENR,pmax,-55.282784875093384
SR_LVQ,pmin,-102.9964029967601
SR_LVQ,pmax,-390.7865457929603
SR_MCR,pmin,-3.868231508031342
SR_MCR,pmax,-32.35935361250137
SR_MIL,pmin,-85.20197291348119
SR_MIL,pmax,-228.84016894683293
SR_NHG,pmin,-233.92427793989688
SR_NHG,pmax,-429.6190846434109
SR_NML,pmin,-5.1371473037698205
SR_NML,pmax,-438.8197681381276
SR_ORO,pmin,-9.388850740487651
SR_ORO,pmax,-20.287505460629326
SR_PAR,pmin,-299.31593674126566
SR_PAR,pmax,-947.9857764012013
SR_PNF,pmin,-122.62365327891578
SR_PNF,pmax,-136.57641132743066
SR_RLL_CMB,pmin,-93.39804090324995
SR_RLL_CMB,pmax,-153.21546591879033
SR_SFAGG,pmin,-23.945484158085442
SR_SFAGG,pmax,-314.43195937396433
SR_SHA,pmin,-5.4344623342421485
SR_SHA,pmax,-6.514143911265094
SR_SNL,pmin,-47.68734636622471
SR_SNL,pmax,-83.43664001576424
SR_WHI,pmin,-199.240288067248
SR_WHI,pmax,-460.1538786165905
