water_year,unimpaired_taf
1922,160469.38199999987
1923,149190.50800000006
1924,131413.45600000006
1925,152939.69200000004
1926,142994.265
1927,166266.16099999967
1928,151883.09800000014
1929,136560.06399999984
1930,144533.26399999994
1931,131694.5670000001
1932,148968.29400000023
1933,138528.16999999987
1934,137066.06600000005
1935,154504.95899999974
1936,156595.3739999998
1937,152301.77800000028
1938,188857.49000000002
1939,136845.61900000015
1940,165318.39899999983
1941,179041.97699999993
1942,170586.6929999998
1943,162638.67999999964
1944,141854.997
1945,152355.37199999994
1946,154700.8130000002
1947,140784.55099999995
1948,148507.28499999992
1949,143981.4179999999
1950,148063.44000000012
1951,165576.40699999977
1952,177501.63599999977
1953,156527.46599999993
1954,152046.37099999996
1955,141925.764
1956,179895.16400000008
1957,147691.54500000004
1958,182062.69699999955
1959,143299.88499999995
1960,142902.86700000011
1961,141298.3190000002
1962,151195.08499999967
1963,164007.75299999974
1964,141064.7629999998
1965,170270.72999999984
1966,146577.802
1967,172992.38199999972
1968,146284.19600000032
1969,183884.0949999998
1970,166726.94699999972
1971,160333.97199999983
1972,144790.84400000022
1973,164278.33699999974
1974,180640.6649999997
1975,158963.78000000023
1976,136947.41799999986
1977,129965.09899999997
1978,173582.3999999994
1979,150582.70300000024
1980,171592.112
1981,143758.5930000002
1982,189432.47599999985
1983,208753.49699999997
1984,168146.696
1985,144116.79499999987
1986,175715.73999999964
1987,138629.24500000008
1988,139479.17099999983
1989,146730.88899999997
1990,138269.56900000002
1991,139426.7550000003
1992,139687.33200000002
1993,169790.93299999996
1994,138892.2700000001
1995,193893.0589999997
1996,167374.493
1997,177679.61399999948
1998,193228.72599999965
1999,161381.19199999972
2000,160256.3269999998
2001,142547.2150000001
2002,150208.36200000026
2003,158017.40899999987
